recipe_original,final_food_name,TotalTimeInMins,Cuisine,TranslatedInstructions,TranslatedIngredients,Cleaned-Ingredients,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),best_match_clean,matched_original_name,composite_score,token_set_score,wratio_score,food_token_score,negative_penalty,token_overlap
 Mixed Vegetable Samosa Recipe,Vegetable samosa,55,North Indian Recipes,"To make Vegetable Samosa Recipe, first of all, add maida, salt, oil, celery and lemon juice in a large bowl and mix well.
Slowly add water and knead it well.
Keep it aside.
Now heat oil in a pan.
Add mustard seeds and let it splutter.
After tempering, add onion, green chillies, curry leaves, ginger, and cook till the onion becomes soft.
After the onion becomes soft, add red chili powder, coriander powder, turmeric powder, garam masala powder, salt and mix it well.
After 2 minutes add mashed potatoes, green peas, carrots and mix well.
Add green coriander, cook for 2 minutes and your masala is ready.
Now take balls of medium size and take a little thick bale.
Now cut it in half.
Now apply water on the corner and make a cone shape.
Now add samosa mixture and mix it on top.
Make all the samosas like this.
Now heat oil in a pan.
Add samosas to it one by one and cook till it turns golden brown.
Now put it on the kitchen towel so that more oil absorbs.
Serve.
Serve the vegetable samosa recipe with coriander mint chutney and masala tea for dinner."," 3 green chilies - finely chopped, oil - as per use, 1/2 tsp lemon juice, 1/2 cup green peas - boil Boil and chop, 5 curry leaves, 1/2 tsp turmeric powder, 1/4 cup onion - finely chopped, 1 tsp garam masala powder, 1/4 tsp celery, 1/4 tsp rye, 3 tablespoons oil, 1/4 tsp coriander seeds, 1 inch ginger - grated , salt - as per taste, 1/2 tsp red chilli powder, 1/2 tsp coriander powder, 4 potatoes - boil,2 cups maida (all purpose flour)","turmeric powder,salt,rye,ginger,potatoes boil,maida ( flour),celery,red chilli powder,curry leaves,onion,lemon,oil,coriander powder,coriander seeds,green chillies,green peas,garam masala powder",443.11,13.22,2.21,42.22,0.74,1.52,107.7,10.37,0.6,10.06,12.39,vegetable samosa,Vegetable samosa,98.77,100,95,1,0,0.67
Dill Cucumber Raita Recipe,Cucumber raita (Kheere ka raita),10,Indian,"To begin making the Dill Cucumber Raita Recipe, whisk the yogurt until smooth in a mixing bowl.To the yogurt, add water, salt, cumin powder, pepper powder, chaat masala, cucumber, mint leaves and dill leaves .Mix the Dill Cucumber Raita well and serve chilled.
 Serve Dill Cucumber Raita Recipe along with Ragi Tawa Paratha - Healthy Vitamin Rich & Diabetic Friendly Paratha and Spinach Paneer Kofta Curry Recipe or Aromatic Vegetable Pulao Recipe for a simple weekday lunch.","1 teaspoon Black pepper powder,1/4 cup Mint Leaves (Pudina) - finely chopped,1/2 cup Dill leaves - finely chopped,1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Chaat Masala Powder,1-1/2 cup Curd (Dahi / Yogurt),1 Cucumber - grated","salt,cumin powder (jeera),dill leaves,chaat masala powder,curd,black pepper powder,cucumber,mint leaves (pudina)",59.13,6.35,4.04,2.08,5.22,0.86,189.96,138.58,0.29,5.65,26.92,cucumber raita,Cucumber raita (Kheere ka raita),98.77,100,95,1,0,0.67
 Coconut Peanut Chutney (Recipe In Hindi),Coconut chutney (Nariyal ki chutney),40,South Indian Recipes,"Prepare all the ingredients to make coconut peanut sauce.
One by one, grind all the ingredients in the mixer grinder and grind them.
Remove and serve in a bowl.
Serve coconut peanut chutney with rava idli, carrot idli or dosa of your choice."," 4 curry leaves, 2 sprigs of green coriander - chopped,1 cup coconut - grated, 2 green chillies - chopped, salt - or rock salt (as per taste), 1/4 cup peanuts - roasted","salt salt,coconut,peanuts,curry leaves,coriander (dhania) leaves,green chillies",265.92,8.29,3.59,25,3.79,6.73,428.28,15.7,1.25,4.13,4.74,coconut chutney,Coconut chutney (Nariyal ki chutney),98.77,100,95,1,0,0.67
Kashmiri Style Paneer Masala Recipe,Kashmiri masala,35,Kashmiri,"To begin making the Kashmiri Style Paneer Masala, firstly, have a bowl ready with 500 ml warm water.In a Frying pan, heat a little oil and shallow fry the paneer cubes in batches, till they are golden brown.
Use only medium flame such that paneer won’t break/splutterDrain the fried paneer on a kitchen towel and add the fried paneer to the bowl of warm water.
Let it soak, while we make the curry.
The paneer will retain moisture and stay soft this way.to make the curry add a little oil to a heavy bottomed pan, and add hing.
Let it sizzle for a few seconds.Add cinnamon stick, bay leaf and green cardamom.Fry the spices for a minute, as they begin to splutter and release their aroma in the oil.
Care not to over fry them.
Add shahi jeera and fry till it splutters.On a low heat, add tomato puree and stir to ensure that it does not stick to the bottom.
Add red chilli powder, ginger powder and fennel powder.Stir and fry for a couple of minutes so that it blends well.Add required water (you can add the warm water in which the paneer are soaked) and continue to cook on a medium heat.Bring it to boil and simmer for 5-7 minutes without lid, till a thick consistency is achieved.Crush the saffron into the gravy and whisk in the yogurt.
Simmer for few more minutes.
When the gravy is done and cooked, add paneer cubes.
Stir, making sure that the paneer does not break.Garnish Kashmiri Style Paneer Masala with coriander and a pinch of garam masala and switch off the flame.
Serve Kashmiri Style Paneer Masala Recipe along with Kashmiri Modur Pulao with pomegranate to enjoy your Sunday Meal.","6 Cardamom (Elaichi) Pods/Seeds,3 teaspoon Homemade tomato puree,2 sprig Coriander (Dhania) Leaves - to garnish,1 pinch Saffron strands,1/2 teaspoon Dry ginger powder,Salt - to taste,1 pinch Garam masala powder,1/2 teaspoon Kashmiri Red Chilli Powder,2 Bay leaves (tej patta),2 inch Cinnamon Stick (Dalchini),1/2 teaspoon Ajwain (Carom seeds),350 grams Paneer (Homemade Cottage Cheese) - diced in cubes,1/4 cup Curd (Dahi / Yogurt),1 teaspoon Fennel seeds (Saunf) - powdered,1 pinch Asafoetida (hing)","tomato,salt,kashmiri red chilli powder,bay leaves (tej patta),cardamom (elaichi) podsseeds,paneer,asafoetida (hing),ajwain (carom seeds),fennel seeds (saunf),saffron strands,curd,dry ginger powder,coriander (dhania) leaves,cinnamon stick (dalchini),garam masala powder",389.02,23.16,8.26,31.03,2.41,12.12,3106.14,303.49,14.72,,,kashmiri masala,Kashmiri masala,98.77,100,95,1,0,0.67
Tandoori Chicken Momo Recipe,Tandoori chicken,50,Indo Chinese,"To begin making the Tandoori Chicken Momos Recipe, first let’s make the dough.For the Momo doughIn a mixing bowl, add maida and add water slowly and knead to form a medium stiff dough.
The dough should be non sticky, smooth and firm.
Keep the momo dough covered for 2 hours before making filling.To make the Chicken Momo FillingIn a mixing bowl.
combine the chicken cubes along with fresh cream, tandoori masala,  garam masala, cumin powder, red chilli powder, chaat masala, salt and lemon juice and mix well.
Set aside for 15 minutes.
Heat a grill pan on medium-high flame, place the marinated chicken pieces and cook for about 3-4 minutes on each side.
Ensuring that the chicken momo filling is cooked.
Turn off the heat, transfer the chicken momo filling into a bowl and set aside.
To make the Tandoori Chicken Momos RecipeTake a bamboo dim sum maker, or the regular idli steamer and fill it with water and pre heat it over a medium heat.Divide the momo dough into equal portions, of lemon sized balls.Take each ball and start rolling it out on a surface.
Roll out the dough as thin so that the outer layer of the momo is thin and delicate.In every flatten dough leaf, add 1 tablespoon of the chicken momo filling, and fold the edges to semi circles and start pleating to give a nice characteristic pleats.Do the same with all the rest of the dough and filling.
Keep the completed  Tandoori Chicken Momos under a moist cloth to prevent it from drying.
Grease the steamer plate with oil or place butter paper before placing Chicken Momos from prevent sticking.If using traditional steamer it has own boiler or if using bamboo steamer then boil water in a shallow pan and when water start boiling put momo filled bamboo steamer on it.
Steam the Tandoori Chicken Momos  for 10 - 15 minutes and turn off the heat.The next step is to make the Tandoori Sauce.
In a large mixing bowl, combine tandoori masala and tandoori sauce and toss well.
Add the steamed chicken momos into the tandoori sauce and gently toss it to get it well coated.
Once done, place the Tandoori Chicken Momo Recipe on to the serving platter and serve warm.Serve this Tandoori Chicken Momos Recipe as an appetizer along with a main course of Mumbai Style Tawa Pulao Recipe With Moong Sprouts and finish this simple meal with Vermicelli Kunafa Recipe With Paneer & Cream Filling as dessert.
","1/2 teaspoon Cumin powder (Jeera),1 cup All Purpose Flour (Maida),2 tablespoons Red Chilli sauce,1/2 teaspoon Tandoori masala - Everest brand,100 grams Chicken breasts - cut into 1 cm cubes,Salt - to taste,Water - to knead,1/2 teaspoon Garam masala powder,2 teaspoons Tandoori masala,2 tablespoons Fresh cream,1/2 teaspoon Lemon juice,1/2 teaspoon Red Chilli powder,1 teaspoon Chaat Masala Powder","salt,water knead,cumin powder (jeera),tandoori masala,chaat masala powder,tandoori masala everest brand,red chilli powder,lemon,flour (maida),red chilli sauce,chicken breasts cm cubes,garam masala powder",145.2,2.34,16.26,7.93,1.58,0.5,158,44.33,0.9,39.53,182.73,tandoori chicken,Tandoori chicken,98.77,100,95,1,0,0.67
Tomato Basil Chicken Recipe,Tomato chicken,45,Continental,"To begin making the Tomato Basil Chicken Recipe, wash and thoroughly clean the chicken breasts.
Into the bowl add the chicken, add mixed herbs, lemon juice, olive oil and salt.
Mix well.
Heat a skillet on medium-high heat to pan sear the chicken pieces.
Place the chicken pieces and cook only for a minute on both sides till it gets a light brown colour and is just about cooked.To make the tomato basil sauceHeat a saucepan with olive oil, add the garlic and onions and saute till until the onions soften and till the aroma wafts in the air.
Next add the torn basil leaves, tomato puree, herbs, red chilli powder, salt and sugar .
Bring the tomato basil sauce to a brisk boil.
After a few minutes, add the grilled chicken breasts into the tomato basil sauce.
Turn the heat to low, cover the pan and cook the Tomato Basil Chicken for about 10 minutes, until the chicken has absorbed all the flavours and is cooked through as well.Once done, turn off the heat and transfer the Tomato Basil Chicken Recipe to a serving bowl and serve hot.Serve  Tomato Basil Chicken Recipe along with some Garlic Bread With Herb Butter Recipe and Fizzy Pomegranate & Mint Mocktail Recipe for a weekend dinner or even for your house parties along with Herbed Buttered Rice Recipe With Green Peas and a Savory Melon Salad Recipe (Spiced with Ginger & Mint).","1/4 cup Basil leaves - fresh leaves,2 teaspoons Extra Virgin Olive Oil,2 teaspoons Mixed Herbs (Dried),1 tablespoon Mixed Herbs (Dried),2 Chicken breasts,10 cloves Garlic - finely chopped,Salt - to taste,Sugar - to taste,1 sprig Basil leaves - finely chopped,1 teaspoon Red Chilli powder,2 tablespoons Extra Virgin Olive Oil,1 Onion - finely chopped,3 cups Homemade tomato puree,3 tablespoons Lemon juice","tomato,salt,mixed herbs (dried),basil leaves,red chilli powder,virgin olive oil,basil leaves leaves,cloves garlic,sugar,onion,lemon,chicken breasts",111.68,2.13,10.57,6.71,0.93,1.42,104.83,21.24,0.87,24.53,24.19,tomato chicken,Tomato chicken,98.77,100,95,1,0,0.67
Quick and Easy Bread Upma Recipe,Bread upma,45,Indian,"To begin making the bread upma recipe, we will first toast the bread.
You can toast it in your toaster or on a skillet.Once the bread is toasted, apply the softened butter over the toasted bread.
Next cut the bread into small dices and keep aside.In a large wok or a kadai, heat 1 tablespoon of oil on medium heat and add in the mustard seeds.
Allow the mustard seeds to crackle and add in the onions and green chillies.
Saute the onions on medium heat, until soft and tender.Once the onions are soft, add in the tomatoes, curry leaves, turmeric powder and sambar powder.
Stir and cook the tomatoes until they turn lightly soft as well.Finally add in the salt and the toasted buttered bread pieces.
Stir well to combine all the ingredients and stir fry on medium to high heat for a couple of minutes.We stir fry just to make sure the bread pieces have got all the spices and salted well.
Check salt levels.
Remember the butter you used could have some salt as well.Stir in the chopped coriander leaves into the bread upma to get the delicious fresh flavour.Serve the Bread Upma Recipe for a healthy breakfast along with Papaya Banana Smoothie Recipe","Butter - for cooking,2 sprig Coriander (Dhania) Leaves - finely chopped,Salt - to taste,1 teaspoon Mustard seeds,16 Whole Wheat Brown Bread,2 Green Chillies - finely chopped,3 Tomatoes - chopped small,1 teaspoon Sambar Powder,3 sprig Curry leaves,1 teaspoon Turmeric powder (Haldi),2 Onions - thinly sliced","tomato,wheat brown bread,salt,sambar powder,mustard seeds,curry leaves,coriander (dhania) leaves,onion,turmeric powder,green chillies,butter",129.51,12.6,2.8,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79,bread upma,Bread upma,98.77,100,95,1,0,0.67
 Tamarind Ginger Chutney,Tamarind chutney (Chintapandu pachadi/Puli chutney),30,South Indian Recipes,"To make the Puli Engi recipe, first heat the oil in a saucepan.
Add the mustard seeds, fenugreek seeds and cook for 10 seconds.
Now add asafoetida, curry leaves, ginger, green chilli and cook for 30 seconds.
Now add turmeric powder, tamarind paste, red chilli powder, jaggery, salt and cook for 1 minute.
Now boil in this mixture Come on After boiling, reduce the heat and let it cook for 15 minutes.
Turn off the flame and serve.
Serve Puli Engi with ghee roast dosa and filter coffee for breakfast."," 3 tbsp jaggery, 1/4 tsp fenugreek seeds, 1/4 tsp red chilli Powder, 1/4 tsp asafoetida, 2-3 curry leaves - finely chopped, 1/4 tsp turmeric powder, 2 tbsp green chillies - cut, 1/4 tsp rye, salt - as per taste, 2 tbsp ginger - cut,1 cup tamarind paste - as much as lemon, 1 tbsp sesame oil","turmeric powder,salt,rye,ginger,tamarind paste lemon,asafoetida,jaggery,red chilli powder,fenugreek seeds,curry leaves,sesame oil,green chillies",109.15,25.07,0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18,tamarind chutney,Tamarind chutney (Chintapandu pachadi/Puli chutney),98.77,100,95,1,0,0.67
Raw Banana Raita Recipe,Banana raita (Kele ka raita),15,Indian,"To begin making Raw Banana Raita Recipe, pressure cook the plantain or raw banana for 2 whistles using a pressure cooker.Once it is cooked, peel the skin, grate it using a fine grater and keep aside.Add the yogurt to a big bowl and whisk it into a creamy consistency.To this add the grated plantain or the raw banana, grated ginger, cumin powder, salt and mix well.Now heat oil in a small tadka pan, add mustard seeds, urad dal and let it crackle.Add the red chilli and curry leaves and let it splutter.Pour this tadka over the raita and sprinkle a pinch of cumin powder on top.Serve the Raw Banana Raita along with Vegetable Biryani and Salad for the weekend lunch.","1 Dry Red Chilli,1/2 teaspoon Mustard seeds,1 Raw Banana,Salt - to taste,1 teaspoon Cumin powder (Jeera) - roasted,250 grams Curd (Dahi / Yogurt),1/4 teaspoon White Urad Dal (Whole),1/2 teaspoon Ginger - grated,1 sprig Curry leaves","salt,cumin powder (jeera),ginger,mustard seeds,dry red chilli,curd,curry leaves,banana,white urad dal",89.03,13.51,4.13,2.07,10.11,1,135.43,133.23,0.31,5.73,27.58,banana raita,Banana raita (Kele ka raita),98.77,100,95,1,0,0.67
Coconut Peanut Chutney Recipe (No Onion No Garlic Recipe),Coconut chutney (Nariyal ki chutney),40,South Indian Recipes,"We begin making the Coconut Peanut Chutney Recipe (No Onion No Garlic Recipe) by grinding all the ingredients in a blender till it is coarsely ground.Serve your simple Coconut Peanut Chutney Recipe (No Onion No Garlic Recipe) with Singhara Atta Cheela Recipe to make it a quick breakfast.
","1/4 cup Roasted Peanuts (Moongphali),1 cup Fresh coconut - grated,Salt - or rock salt to taste,2 sprigs Coriander (Dhania) Leaves - roughly chopped,2 Green Chillies - chopped,2-4 Curry leaves","salt salt,coconut,curry leaves,coriander (dhania) leaves,peanuts (moongphali),green chillies",265.92,8.29,3.59,25,3.79,6.73,428.28,15.7,1.25,4.13,4.74,coconut chutney,Coconut chutney (Nariyal ki chutney),98.77,100,95,1,0,0.67
Vegetable Yakhni Pulao Recipe,Vegetable yakhni,65,North Indian Recipes,"To begin making the Vegetable Yakhni Pulao Recipe, first roast all the spices including shahi jeera, coriander seeds, fennel seeds, cloves, cardamom, cinnamon stick and whole black peppercorns in a small pan over medium heat.
This will take about 4 to 5 minutes.Once roasted, make a coarse powder and keep aside.Prepare the caramelized onions for garnish.
Heat a pan with some oil.
Add the thinly sliced onions and cook till it turns brown in colour.
Keep it aside.In another small pan, add a tablespoon of ghee and roast the cashewnuts over medium heat until golden brown and crisp.
Once golden brown, add the raisins and saute for a few minutes and turn off the heat.
Keep this aside for garnish.The final step is to cook the rice with the stock and vegetables.In a large sauce pan over medium heat, add 3 tablespoons of ghee.
Add the onions, ginger, garlic, green chilies, bay leaf and saute until the onions soften and you get good aromas.Add the spice powder mix, the chopped vegetables and the rice.
Stir for a few minutes until you can see the rice is well coated with the spices.After a few minutes, add the vegetable stock/water and the yogurt.
Add the salt and the chopped mint leaves.
Stir well to combine.
Bring the Yakhni Pulao to a brisk boil.Once it comes to a brisk boil, turn the heat to low, cover the pan and cook the pulao until all the rice is absorbed.
The rice should be of grainy texture.Once all the water is absorbed, turn off the heat.
Allow the Yakhni Pulao to rest for 10 minutes before you can stir.After 10 minutes, open, add the chopped coriander leaves and give it a stir with a large fork and fluff up the rice.Transfer to a serving dish, garnish with the caramelised onions, cashew nuts and mint leaves.Serve the Yakhni Pulao Recipe along with Paneer Tikka Masala, Punjabi Dal Tadka and Phulka for a special weekend dinner.","1 Carrot (Gajjar) - thinly sliced,1 tablespoon Cashew nuts,1/2 cup Green beans (French Beans) - thinly sliced,1 teaspoon Ghee,2 Green Chillies - slit,1 teaspoon Ajwain (Carom seeds),1 Onion - finely chopped,2 cups Basmati rice,1 cup Curd (Dahi / Yogurt) - whisked,Salt - to taste,1 inch Ginger - grated,1/2 cup Mint Leaves (Pudina) - finely chopped,4 cloves Garlic - grated,4 tablespoon Ghee,2 cups Vegetable stock - or water,2 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),4 Cardamom (Elaichi) Pods/Seeds,1 cup Cauliflower (gobi) - cut into florets,1 tablespoon Coriander (Dhania) Seeds,Mint Leaves (Pudina) - for garnish,2 to 3 Whole Black Peppercorns,1/4 cup Caramelized onions,1 teaspoon Fennel seeds (Saunf),1 tablespoon Raisins,1 Bay leaf (tej patta),1/2 cup Green peas (Matar)","basmati rice,vegetable stock water,ajwain (carom seeds),black peppercorns,cloves garlic,carrot,coriander (dhania) seeds,onion,green chillies,salt,cardamom (elaichi) podsseeds,raisins,mint leaves (pudina),green beans (french beans),cauliflower (gobi),curd,cashew nuts,ginger,bay leaf (tej patta),fennel seeds (saunf),ghee,green peas (matar),cinnamon stick (dalchini),cloves (laung)",406.06,1.94,1.18,43.8,1.44,0.61,38.05,43.67,0.24,5.43,60.84,vegetable yakhni,Vegetable yakhni,98.77,100,95,1,0,0.67
Mixed Vegetable Samosa Recipe,Vegetable samosa,55,North Indian Recipes,"To prepare Mixed Vegetable Samosa Recipe, take a big bowl and add maida/all-purpose flour, salt, oil and carom seeds, and lemon juice.
Mix them all well and make stiff and tight dough.
Addition of lemon juice makes the cover of samosa crunchier.Heat a pan with oil and add mustard seeds, let them crackle and add chopped onions, green chilly, curry leaves, ginger and cook them until onions turns light pink.
Add all the spices including salt and cook for seconds.Now add boiled and mashed potatoes, boiled green peas and boiled carrot in it and mix it very well.
Sprinkle some chopped coriander leaves on the mixture and your samosa stuffing is ready.
Let the mixture come on room temperature.Now make medium size small balls from the dough, roll out the dough ball by keeping it little thick, then divide the round poori into two halves and lift one part in your hands, apply some water on the edges and fold it to cone shape.Now stuff the samosa mixture in the cone, and again fold at the back and apply some water on the edges.
Take both the ends together and stick well, make them in a perfect samosa shape.
Meanwhile, heat the oil in a wok.Like same way, prepare all the samosas.
Now deep fry the samosas on medium heat until they get brown and crispy from all the sides.Drain out the fried samosas on tissue paper to remove excess oil and your super delicious Mixed Vegetable Samosas are ready to serve with hot cup of tea or coffee!!You can serve it with green chutney, or Tamarind-jaggery chutney or simply with Tomato ketchup too!","3 tablespoon Sunflower Oil,1/4 cup Onion - finely chopped,1 teaspoon Garam masala powder,1/2 teaspoon Coriander Powder (Dhania),Salt - to taste,1/4 teaspoon Ajwain (Carom seeds),4 Potatoes (Aloo) - medium size,1 inch Ginger - grated,1/4 teaspoon Mustard seeds,1/4 teaspoon Coriander (Dhania) Seeds,1/4 cup Carrot (Gajjar) - boiled and finely chopped,1/2 cup Green peas (Matar) - boiled,1/2 teaspoon Red Chilli powder,2 cup All Purpose Flour (Maida),1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Lemon juice,3 Green Chilli - finely chopped,5 Curry leaves,Sunflower Oil - to fry","salt,ginger,green chilli,mustard seeds,ajwain (carom seeds),green peas (matar),red chilli powder,carrot,curry leaves,coriander (dhania) seeds,onion,lemon,potato (aloo),coriander powder,flour (maida),turmeric powder,garam masala powder,sunflower oil",443.11,13.22,2.21,42.22,0.74,1.52,107.7,10.37,0.6,10.06,12.39,vegetable samosa,Vegetable samosa,98.77,100,95,1,0,0.67
Chicken Manchurian Dry Recipe,Chicken manchurian,50,Chinese,"To begin making the Chicken Manchurian Dry recipe, firstly mix the egg, cornflour, salt and one tablespoon soy sauce in a mixing bowl.
Add the chicken pieces and mix.
Set aside and let it marinate for 30 minutes.Heat sufficient oil in a wok on high heat and deep fry the marinated chicken till golden brown in colour.
This should take approximately about 3-4 minutes.In a medium sized wok, add sesame oil on medium heat, chopped garlic and sauté on high flame for about 30 seconds.Add the chopped ginger and green chillies and sauté further for 30 more seconds.
Add the chopped onions and sauté till they turn translucent.Add left over soya sauce, chilli sauce, tomato ketchup, vinegar along with brown sugar and sauté for a few seconds.Finally add the fried chicken pieces to it and sauté for 4-5 minutes till the chicken is nicely coated in the sauce.Turn off the heat, add chopped spring onions and it is ready to be served.Serve Chicken Manchurian Dry as is an an appetizer or along with Spicy Schezuan Vegetarian Noodles for a delicious weekend dinner.","8 cloves Garlic - finely chopped,1 Onion - sliced,1 tablespoon Brown Sugar (Demerara Sugar),Sunflower Oil - as required to deep fry,Salt - to taste,2 Spring Onion Greens - finely chopped,1 Whole Egg,2 tablespoons Sesame (Gingelly) Oil,1 tablespoon Tomato Ketchup,2 inch Ginger - finely chopped,400 grams Chicken breasts - boneless,1 tablespoon Corn flour,1 tablespoon Vinegar,2 tablespoons Soy sauce,1 tablespoon Red Chilli sauce,2 Green Chillies - sliced","salt,spring onion greens,corn flour,ginger,eggs,sesame (gingelly) oil,soy sauce,cloves garlic,red chilli sauce,tomato ketchup,onion,vinegar,brown sugar (demerara sugar),chicken breasts bless,green chillies,sunflower oil",142.34,6.06,9.53,11.96,0.9,0.41,2414.77,26.52,1.28,10.37,45.99,chicken manchurian,Chicken manchurian,98.77,100,95,1,0,0.67
Mixed Vegetable Jalfrezi Recipe,Vegetable jalfrezi,30,North Indian Recipes,"To begin making Mixed Vegetable Jalfrezi Recipe, wash all the vegetables and cut into thin strips.
Chop onion lengthwise and prepare the tomato puree.
In a kadai, add some oil.
Once the oil is warm, add the ginger garlic paste and saute for a minute.
The paste will splutter when added to oil, so place the stove on low-medium heat.Next, add chopped onions and saute until translucent.Once done add in the tomato puree and cook until the tomatoes turn mushy.After the tomatoes have turned soft add the turmeric powder, red chilli powder, coriander powder and garam masala powder to it.
Saute until oil separates.Now add the chopped veggies and fresh green peas to it and saute for a minute.
After a minute add salt and required water for cooking vegetables.
Stir and cook covered until vegetables gets cooked well but not mushy.
It has to retain its crunchiness.Switch off the flame.
Add sugar and crushed kasuri methi to Mixed Vegetable Jalfrezi, and mix well.
Transfer Mixed Vegetable Jalfrezi  into a serving bowl and garnish with coriander leaves.
Serve Mixed Vegetable Jalfrezi along with Phulkas and Palak Raita for a weeknight dinner.
","Salt - as required,1 cup Green peas (Matar),1 teaspoon Ginger Garlic Paste,1 teaspoon Cumin seeds (Jeera),1 Green Bell Pepper (Capsicum) - chopped,1 teaspoon Coriander Powder (Dhania),1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Garam masala powder,1 cup Green beans (French Beans) - chopped,1/2 teaspoon Red Chilli powder,2 Tomatoes,1 Onion,1/2 teaspoon Sugar,1/2 cup Sweet corn,Coriander (Dhania) Leaves - for garnishing,1/4 teaspoon Turmeric powder (Haldi),1 cup Carrot (Gajjar) - diced vetically,2 teaspoon Sunflower Oil","tomato,salt,green beans (french beans),carrot veticy,coriander (dhania) leaves,green peas (matar),red chilli powder,ginger garlic paste,sugar,onion,cumin seeds (jeera),sweet corn,green bell pepper (capsicum),coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder,sunflower oil",68.48,5.43,1.4,4.38,1.79,2.97,79.46,27.11,0.68,26.08,28.48,vegetable jalfrezi,Vegetable jalfrezi,98.77,100,95,1,0,0.67
Vermicelli & Oats Kheer Recipe,Vermicelli kheer (Semiya/Seviyan ki kheer),40,Indian,"To begin making Vermicelli & Oats Kheer Recipe, firstly soak the raisins in water.In a wok or a heavy bottomed pan, dry roast the oats and transfer them to a small bowl.In the same pan, add ghee and then add cashew nuts and roast them until golden brown.
 Once they turn brown then take them out and keep aside.In a sauce pan, boil the milk until it comes to a boil.
 Add vermicelli and keep on stirring it well for about 5-6 minutes and turn the heat to low and allow the vermicelli to get cooked in the milk.
Once the vermicelli gets cooked, add oats, soaked raisins, sugar and elaichi powder.
Stir it all well together.
The kheer will thicken because of the oats that we added.
If the kheer is a little too thick, then add some water and lighten it.
Check the sugar and flavors and adjust to your taste.
Finally top it with roasted cashewnuts and serve.Serve Vermicelli & Oats Kheer along with Lahsuni Dal, Bhindi Masala and Tawa Paratha for an everyday meal.","1/2 cup Sugar,1 cup Semiya (Vermicelli),500 ml Milk,1 cup Instant Oats (Oatmeal),1 tablespoon Ghee,Cardamom Powder (Elaichi) - a pinch,5 Cashew nuts,5 Raisins","cashew nuts,ghee,milk,raisins,sugar,semiya (vermicelli),cardamom powder (elaichi),instant oats (oatmeal)",120.07,15.87,3.35,5,12.79,0.5,22.52,104.8,0.3,4.06,16.29,vermicelli kheer,Vermicelli kheer (Semiya/Seviyan ki kheer),98.77,100,95,1,0,0.67
Lemon 7 Up Cake Recipe,Lemon cake,195,Indian,"To begin making the Lemon 7 Up Cake recipe, cream butter and sugar together for 20 minutes.Add eggs, 1 at a time, beating after each addition.
Add flour and lemon extract.
Fold in 7-Up.
Pour into well-greased 12-cup Bundt pan.Bake at 325 degrees for 1 to 1-1/4 hours.The next step is to make the lemon glaze.
Mix powdered sugar and lemon juice together.
Keep it aside.
When cake is cooled, dribble with Lemon Glaze.Serve Lemon 7 Up Cake for some special ocassions or for birthday parties.","1 tablespoon Lemon juice,3/4 cup Seven up,Lemon glaze,3/4 lb Butter - softened,2/3 cup Sugar - powdered,2 tablespoons Lemon zest,3 cups All Purpose Flour (Maida),3 cups Sugar,5 Whole Egg","seven up,eggs,lb butter,sugar,lemon,lemon,lemon glaze,flour (maida)",373.85,43.1,5.29,20.63,25.84,0.62,151.29,32.77,0.91,2.44,9,lemon cake,Lemon cake,98.77,100,95,1,0,0.67
Raw Mango Raita Recipe,Mango raita (Aam ka raita),30,Indian,"To begin making the Raw Mango Raita Recipe, prepare the mango by washing and peeling it.
Grate the raw mango finely and set it aside.Whisk the yogurt until it is smooth.
Next add the grated raw mango, salt, chilli powder and roasted cumin powder to the curd and mix well to combine.
Check the salt and seasoning and adjust to suit your taste.Set the raita aside while you prepare the seasoning.Heat the oil in a small tadka pan.
When it is warm, add the asafoetida and saute for a few seconds.
Add mustard seeds and allow them to crackle.
Gently add in the curry leaves and allow them to crackle.
Once done turn off the heat.Pour the mixture over the Raw Mango Raita, stir and serve.
Serve Raw Mango Raita Recipe with Spicy Paneer Pulao With Vegetables for a tasty lunch.
","1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Mustard seeds,2 sprig Curry leaves,Salt - to taste,1 teaspoon Sunflower Oil,pinch Asafoetida (hing),1-1/2 cup Curd (Dahi / Yogurt),1 Mango (Ripe) - raw,1/2 teaspoon Red Chilli powder","salt,cumin powder (jeera),mustard seeds,mango (ripe),asafoetida (hing),red chilli powder,curd,curry leaves,sunflower oil",67.37,8.23,3.9,2.14,7.87,0.89,135.46,136.06,0.34,18.19,59.64,mango raita,Mango raita (Aam ka raita),98.77,100,95,1,0,0.67
